mu,Tc,delta_Tc,order
0.0,90.9752682635424,0.002178421087300819,2.0
128.0,86.98684653063877,0.0038143516798356814,2.0
256.0,77.23931111815382,0.005421432005590532,2.0
258.0,77.05950226136835,0.005063351766160906,2.0
259.0,77.02438871055307,0.04524025434759693,1.0
260.0,76.93329353030805,0.023628974908767475,1.0
264.0,76.49659506810534,0.015752649939180685,1.0
272.0,75.60044431601,0.015752649939180685,1.0
288.0,73.82214516732078,0.11026854957422927,1.0
320.0,70.34518526685711,0.02362897490876037,1.0
384.0,62.60639509168122,0.1020866227841637,1.0
