mu,Tc,delta_Tc,order
0.0,97.9728498542274,-0.6641763848396565,2.0
128.0,93.63936071226698,-0.26778442921317236,2.0
144.0,92.51271657846024,-0.27432734927493385,2.0
152.0,91.85186936988134,-0.11219251002902553,2.0
156.0,91.63522502825393,0.004109151828451729,2.0
158.0,91.55565929644112,0.007980366860884658,1.0
160.0,91.41758438254527,0.019594810662489692,1.0
160.0,91.34822966924813,0.05585093611502856,1.0
192.0,88.35208511445717,0.13716367463746337,1.0
256.0,81.74686293631788,0.5977331009222482,1.0
