mu,Tc,delta_Tc,order
0.0,102.09122215499067,0.002178421087300819,2.0
128.0,97.77419221349747,0.004372398094773189,2.0
256.0,87.08243461861406,0.0041558935623200455,2.0
258.0,85.71976281062715,0.12641069817192374,1.0
260.0,85.71976281062715,0.12641069817192374,1.0
264.0,85.21412001793944,0.12641069817192374,1.0
272.0,84.03428683500147,0.12641069817192374,1.0
288.0,82.0538525636413,0.5899165914689846,1.0
320.0,78.27557725161377,0.12641069817192374,1.0
384.0,70.13208138937415,0.11822462056334615,1.0
