mq,sigma
-0.09947709449986238,25723.77546986771
-0.11437067324605592,29588.717500143655
-0.11801485660562258,30535.187716003773
-0.12066174463709631,31222.858840267178
-0.12283510944400756,31787.64813588111
-0.12472292899418996,32278.34256779605
-0.12641648431350547,32718.630158822776
-0.12796800502264935,33122.0713308069
-0.12941082814582452,33497.30894018412
-0.13076682033624043,33850.022551878865
-0.13205226227228692,34184.51913001017
-0.1332791775295416,34503.76118146659
-0.1344561202615196,34810.045350064385
-0.13559054470430063,35105.30692344165
-0.1366876738297724,35390.901353288
-0.13775240703812935,35668.09975183365
-0.1387880367837669,35937.755501989064
-0.14003239373871457,36169.222655973535
-0.1410183636752222,36426.44292183
-0.14198560631243243,36678.11701444486
-0.1429342927115905,36924.99105736087
-0.14386628939470267,37167.54875458496
-0.14478287767721812,37406.12274867552
-0.14568553444657373,37641.09746290099
-0.1465752180907,37872.72055532773
-0.14745313082832337,38101.304022244534
-0.14832089425932757,38327.26903847937
-0.14917798496559523,38550.478520619494
-0.15002624209596047,38771.41097729937
-0.15086576055054998,38990.09082463803
-0.1516974883186922,39206.764165848836
-0.15252223054591815,39421.64035967032
-0.1533402064397542,39634.775924902846
-0.15415167903890883,39846.23930763058
-0.15495781590681063,40056.334359760665
-0.15575871058024227,40265.08521296127
-0.15655438565038832,40472.49822532755
-0.15734569090453104,40678.79488921958
-0.15813250704513174,40883.94351019519
-0.1589157960916557,41088.19397319
-0.15969501775274955,41291.405285223955
-0.16047144581839276,41493.90919601638
-0.16124448679101638,41695.551053617644
-0.16201504202070702,41896.56592680336
-0.16278285638913162,42096.8869705446
-0.163548357243117,42296.62541545291
-0.1643117214202296,42495.82755940929
-0.16507361626226083,42694.66741076291
-0.1658330368271619,42892.88196844977
-0.16659116504111182,43090.779741262115
-0.1673480964087954,43288.38555843271
-0.1681041233290346,43485.775410695656
-0.16885876014950413,43682.822694847484
-0.1696093560441601,43880.28770162559
-0.170362835628893,44077.090494764554
-0.17111573067543753,44273.76075010729
-0.17186777768794806,44470.22931850816
-0.172619558831828,44666.64862656438
-0.17337159235796792,44863.15408561423
-0.17412302705098837,45059.52316949409
-0.17487514106162536,45256.08988828953
-0.1756276278156488,45452.77414562535
-0.17638000622267863,45649.45108613818
-0.17713363647662672,45846.121472136445
-0.17788722827263218,46043.14490628601
-0.17864134562156872,46240.32593626155
-0.1793963913506202,46437.769665778
-0.18015223362805316,46635.44196510586
-0.18090906208157886,46833.393357830486
-0.18166707275364055,47031.67513026579
-0.1824260690253957,47230.235385143336
-0.1831864958702192,47429.190479234705
-0.183948419044611,47628.557870039884
-0.18471185286863306,47828.34155586209
-0.18547586914381126,48028.298708434486
-0.18624307844793048,48229.112735952265
-0.1870101390334618,48429.9092316341
-0.18778024844321864,48631.52518724893
-0.18855226238233724,48833.661215166685
-0.18932551399296998,49036.142952249436
-0.19010146789690915,49239.35425309233
-0.19087962647582268,49443.16507680387
-0.19166052907549536,49647.71678183717
-0.19244265879638858,49852.61239877007
-0.1932272209494146,50058.167997018565
-0.19401491452534728,50264.5667836606
-0.19480406467806133,50471.37037045509
-0.19559750623696268,50679.32195524503
-0.19639246293071505,50887.69467278839
-0.19719116917029253,51097.073959560315
-0.19799249939521418,51307.16509021197
-0.19879647597901023,51517.97431336224
-0.19960409209364757,51729.76248694743
-0.20041367122961126,51942.090302423916
-0.20122770863823286,52155.61329842954
-0.2020437317688577,52369.68291703865
-0.20286435714022574,52584.98561414892
-0.20368838977278347,52801.20833234584
-0.20451512737574512,53018.16719581436
-0.2053464346894602,53236.3518098729
-0.2061807440061586,53455.35103442696
-0.20701959260941474,53675.5687242385
-0.20786174134096036,53896.68051205718
-0.20870806138009843,54118.91546701149
-0.2095589460742918,54342.3785789664
-0.2104129987221651,54566.702492508426
-0.21127158221102693,54792.24570734803
-0.212134717834968,55019.01410272718
-0.21300239588381586,55247.005884647304
-0.21388080367327064,55474.77946044766
-0.21475695335520886,55705.05630722587
-0.21563771391221334,55936.57609575387
-0.21652414829967473,56169.61998441684
-0.21741526814171827,56403.928386826614
-0.21831066722348313,56639.394903430104
-0.21921074918781053,56876.12633556664
-0.22011675769105324,57114.45039247232
-0.22102816166376538,57354.22812214488
-0.22194560820938583,57595.63068743765
-0.22286745325890517,57838.22629792415
-0.2237950822978004,58082.38028607735
-0.2247291691037887,58328.27081200829
-0.2256682479045074,58575.5128185339
-0.22660570371780586,58824.02912758477
-0.2275564983989074,59074.47824263941
-0.22851455346479407,59326.87915745717
-0.22947771434484396,59580.66527965407
-0.23044610734057341,59835.870975221434
-0.23142250353023608,60093.22716383806
-0.2324051286858439,60352.26726628228
-0.23339486654855596,60613.22542041732
-0.23439051113608578,60875.784737675785
-0.23539306116417041,61140.20934400287
-0.23640282182879388,61406.58105358057
-0.23741982530447905,61674.90957882295
-0.23844453077760316,61945.318056602715
-0.23947534560630235,62217.38704773759
-0.24051479564665168,62491.78411024641
-0.24156244105650485,62768.39468954755
-0.24261598680410248,63046.61403111913
-0.24367994726599587,63327.635301303904
-0.24475011469452929,63610.34896029656
-0.24583004156679988,63895.69491504196
-0.24691788316378166,64183.18673550999
-0.2480135006530664,64472.789604265294
-0.24911676134445815,64764.840756798854
-0.25023244516286103,65059.86157109165
-0.2513543568520248,65356.5903026892
-0.25248651617535034,65656.09044323768
-0.2536275750237178,65958.00760099334
-0.2547808425379809,66263.21945578823
-0.25594096976121716,66570.31243569803
-0.257110519096686,66879.96649779391
-0.25829195400258426,67192.83612172856
-0.2594820157800818,67508.06048449986
-0.26068508386815065,67826.80198212374
-0.2618993765179038,68148.59067621821
-0.26312064827968784,68472.30409051667
-0.26435357298654166,68799.93415249506
-0.2655991225641378,69130.24114882192
-0.2668576945145662,69464.08255443543
-0.2681267044562592,69800.77510021187
-0.2694072760144246,70140.61967396195
-0.27070218087047754,70484.35537357246
-0.2720063978526415,70830.65207479018
-0.2733250196984924,71180.86444658306
-0.2746588847799056,71535.21942609493
-0.276002660593688,71892.3036860686
-0.27735950360067635,72252.95925814494
-0.27873044813366304,72617.46444784537
-0.2801182220647802,72986.54851670614
-0.28151914142161505,73359.23568385378
-0.2829323520316587,73735.30223843682
-0.284362425185988,74115.96839395224
-0.28580945405596114,74501.41613500856
-0.28727095188440144,74890.69303812705
-0.2887452181077358,75283.49409212482
-0.29023971853279895,75681.8125729743
-0.29175045433832375,76084.58720787002
-0.2932752434356722,76491.24126611628
-0.29481992558185394,76903.33786216349
-0.29638131051010125,77320.03184062566
-0.29796145764364723,77741.87860480297
-0.2995589021700986,78168.49449082717
-0.3011768948838285,78600.7524803668
-0.302812777359696,79037.94901112534
-0.3044702535576994,79481.08075056788
-0.306144897393915,79928.97138916864
-0.30784301149669213,80383.31424628895
-0.30955971425477613,80842.81138318719
-0.3112999754908239,81308.80050276317
-0.3130625012919967,81780.94387929914
-0.3148475821293946,82259.32808958161
-0.31665406321531275,82743.65249234244
-0.3184863988179867,83235.12089579555
-0.32034687279957186,83732.20406644803
-0.32222447043797925,84236.26228500233
-0.32413352646195,84748.99984011256
-0.32606608644675455,85268.29485976636
-0.3280250942197458,85794.94849810538
-0.3300105417174044,86328.97092921636
-0.3320266467887794,86871.51022848664
-0.33407073192452574,87421.8596999541
-0.33614320839935596,87980.14252525245
-0.33824849456175143,88547.56549500613
-0.3403842935352069,89123.52615186962
-0.3425506993479233,89708.06595499713
-0.3447559965147013,90303.43868146595
-0.34699194425384977,90907.43821494712
-0.34925740862055127,91519.77594760174
-0.351568138076239,92144.72999699916
-0.3539066389718786,92777.59146883209
-0.35629098451019897,93423.27275247166
-0.3587103308324116,94078.86210327437
-0.36116978847077447,94745.76808721613
-0.36367503586629607,95425.558147189
-0.3662134340003381,96114.82945746602
-0.368804560146533,96818.9275211284
-0.37144257707984407,97535.3693965246
-0.37411808298816096,98263.49403340749
-0.37684582513677106,99006.41398203048
-0.37962797988357994,99764.76243047908
-0.38245540264864386,100536.08560077044
-0.385340061796275,101323.6890227152
-0.38827607718135804,102126.01232545721
-0.3912727078043369,102945.63378499857
-0.39431887884909594,103779.57258377082
-0.39743588365108823,104633.70977689362
-0.4006074760740845,105503.6537286981
-0.40385124700307906,106394.29027348766
-0.4071524695364083,107301.63985104286
-0.4105297550587005,108230.88641545392
-0.41398424621522634,109182.42095866142
-0.41750502349604224,110153.31583347417
-0.42111156533676813,111149.02760898
-0.42478908437316865,112165.56437328266
-0.4285523823525813,113204.78583643792
-0.43239967868657925,114270.91510088525
-0.436349119309684,115366.81111605799
-0.4403897539265702,116489.56242155832
-0.44451909825022556,117638.60293663073
-0.4487589021085781,118820.12748575592
-0.45310074794471383,120031.94472191708
-0.4575560880597197,121277.41680447238
-0.46213088459118423,122558.67411318725
-0.4668201695918503,123873.96064090478
-0.47163655459755766,125227.30891329149
-0.4765904212204036,126621.87414632124
-0.4816830733171525,128058.28268980137
-0.4869182698922418,129537.87049350773
-0.49230959543701613,131064.785613035
-0.497862473275027,132640.9049864663
-0.5035862193477405,134269.24889189666
-0.5094797383247609,135949.902199089
-0.5155659269639525,137689.84793552355
-0.5218373126577579,139487.4430484798
-0.5283473357449204,141358.57906436804
-0.5350511103497391,143290.97475881278
-0.5419867577760925,145296.27897830223
-0.5491689511270527,147379.50310438641
-0.5566400022025789,149553.82292625943
-0.5643718173945358,151812.04213493117
-0.5723980513801462,154165.0736273847
-0.5807399614745575,156620.39437208866
-0.5894123622589925,159183.7701157468
-0.598459676278262,161869.95614845853
-0.6078724836594945,164678.00670257906
-0.6177027477971511,167625.52393099305
-0.6279943627836087,170728.18331485114
-0.6387265553273639,173982.51873344317
-0.6500017694268646,177422.90919983946
-0.6618423469422228,181060.18924379014
-0.6742805785240333,184908.91023824096
-0.6873264212199541,188977.39413159763
-0.7011477931243454,193324.63495518125
-0.7157450201060684,197958.8653791794
-0.7311409620380686,202896.57427934612
-0.7474908067485951,208199.07889210642
-0.7649004271888096,213915.4215785291
-0.7834438052151933,220087.9896455297
-0.8032155716270439,226770.78841399145
-0.8244212086312731,234062.32682492275
-0.8457126249366679,242252.67944474117
-0.8701282542926122,251054.08960579685
-0.8965025163021783,260808.34279202143
-0.9250002921651178,271666.64978041645
-0.9561148396409755,283945.29826756904
-0.9898859557415599,297842.88368964934
-1.0267931052048063,313821.1134889082
-1.0671479950599727,332425.2222295029
-1.1113398310938984,354493.7624975418
-1.1591973446397572,381043.73244753235
-1.210402610425389,413907.4386725235
-1.2627904981473532,455730.8138854019
-1.3107083929566021,511474.1528277048
-1.3370431539675316,589876.3569028822
-1.29431973325186,704112.0420444742
-1.269311128241415,732923.9810307409
-1.2473058511151105,754170.6343884914
-1.2275564361304343,771205.9644715484
-1.2082809780613037,786481.343252342
-1.1897650156810804,800171.5354955551
-1.166172299380531,813370.3154975368
-1.1484528684991802,824971.8330283273
-1.13098468473358,835935.6390448972
-1.1131748101401904,846676.4466453982
-1.0964631608059445,856399.0220115437
-1.0797537424396406,865812.2050181808
-1.0610384551090726,876026.2599463708
-1.044959051953163,884549.8470854962
-1.0275881956296677,893519.5941737256
-1.0106192178216515,902062.0716928149
-0.9948313374790451,909829.8511613366
-0.9762417075439638,918770.0820953724
-0.959773012039887,926517.2177032207
-0.9422825638940825,934579.2641135356
-0.926014686497388,941934.2425587387
-0.9080792148898368,949892.8390215281
-0.8903306913682857,957622.6148822579
-0.8752840257799521,964068.4777842538
-0.85631799080492,972060.9962627348
-0.8385656010412152,979415.4731315995
-0.8221548586535341,986111.0261900848
-0.8051014037018265,992969.0433452405
-0.7866092664593647,1000296.2881921874
-0.768337494316377,1007429.9093756622
-0.7503474991329522,1014355.2226429229
-0.7335399806311339,1020741.1776126295
-0.7138453981699246,1028125.2474818891
-0.6967064317494791,1034468.0871468347
-0.6784131748782525,1041156.4827504721
-0.659051242537472,1048160.5953940457
-0.6434461300124457,1053729.3792034646
-0.6230970206957209,1060910.108686265
-0.6053084896365041,1067114.9481810632
-0.5871265592950454,1073391.3082751466
-0.565416969447023,1080802.125902132
-0.5474967747251176,1086842.9213425107
-0.5279231176567131,1093381.3356689927
-0.5058622963916533,1100669.1317597674
-0.4881829587919209,1106449.4151456666
-0.4685727943750168,1112871.5540217326
-0.4518206592691499,1118247.9203568853
-0.42783260575509036,1125870.887956902
-0.4098832203860078,1131518.4577597373
-0.38845279417783163,1138200.1822901906
-0.36838439849171856,1144398.8017310633
-0.3475751638759436,1150768.4551036328
-0.32826802010149464,1156627.2862825287
-0.3087305992850985,1162507.454783298
-0.28275464199411404,1170258.6275124804
-0.2601993366567158,1176915.4942313447
-0.24336800270113518,1181841.820084428
-0.2197141744626587,1188716.9780272103
-0.19591531272832485,1195572.5031077482
-0.17829863607031857,1200608.3840648574
-0.15289354435481015,1207814.183355825
-0.1294925142158093,1214394.1983881425
-0.10601218100296231,1220942.7459787792
-0.08875473211668156,1225722.1928217602
-0.06161798468217838,1233182.1656682906
-0.03732762475565767,1239803.4908584247
-0.018828719056669052,1244811.4429885366
0.0048112248009665294,1251168.5812138997
0.025889100586303934,1256797.524206057
0.050441149060990925,1263308.8454161915
0.08053797146098364,1271225.7098525579
0.09783218923430313,1275743.3593696367
0.12647452999268008,1283176.1413130153
0.14944966051698713,1289094.9378406478
0.1732829427341706,1295195.1230181453
