mq,sigma
-0.009994109679678153,34773.77846376899
-0.012851848231278025,39563.32545718276
-0.01359820852298681,40727.18429168041
-0.014154950832446443,41568.41775139197
-0.014619341442375268,42257.45322505948
-0.015028478609327009,42854.428358023986
-0.015400007402473425,43388.83841316471
-0.015738124137792717,43879.52170556717
-0.016060739694747646,44332.99458689414
-0.01636677905078566,44758.54639741392
-0.016829114447624353,45122.14308763741
-0.0171094942450265,45504.73696546938
-0.01738047949201587,45871.433056509006
-0.017643438599162464,46224.44194713144
-0.017899522707350318,46565.530707180966
-0.01814961393383092,46896.187461318215
-0.018394476539499955,47217.67299742561
-0.018634698815356166,47530.93953754255
-0.018859590731752668,47837.04492210989
-0.019091958016498965,48136.54254614338
-0.019321126772160878,48430.1145860755
-0.019547416408775824,48718.28532606959
-0.019771116291925628,49001.52618146795
-0.019998137716258805,49279.673407485294
-0.02021753880936364,49554.25159916951
-0.020435088209791976,49825.01421424651
-0.02065099795331256,50092.303393614304
-0.0208654749032508,50356.42907027683
-0.02107868642733646,50617.60997221836
-0.0212907479388068,50876.02217312741
-0.021501754791556842,51131.836838193885
-0.02171191932325396,51385.321365009506
-0.021921427841627383,51636.60742907372
-0.022130264514491443,51885.82682084247
-0.02233856671262941,52133.176998675015
-0.02254631486849004,52378.66250263799
-0.022753737819644914,52622.5773475662
-0.022960796907665993,52864.89889488865
-0.023167628230237117,53105.8073119224
-0.02337428715444255,53345.38593711214
-0.023580838211436597,53583.727067117754
-0.023634881756312447,53840.33099788979
-0.02416244854367239,54044.84353882495
-0.02436854357610397,54278.83627093538
-0.024574687707876186,54511.81094182866
-0.024781099244948854,54744.02479704761
-0.024799142170722474,55002.28847892413
-0.025006745580950628,55233.94470814005
-0.025214685160260857,55464.93600394816
-0.025422982620159705,55695.350923977654
-0.025631685401488944,55925.22325240077
-0.025840806224013493,56154.56404779813
-0.02605038608245648,56383.41599284764
-0.02626042238282203,56611.76564424661
-0.026471170183519986,56839.893722667104
-0.026682471918088195,57067.647259332865
-0.02689434444879559,57295.0478294675
-0.027106889233878384,57522.20716174814
-0.027320275893140795,57749.3074272867
-0.027534267894123585,57976.09843956395
-0.027765590270596868,58195.57503673259
-0.027980783775689886,58422.45210633577
-0.028196918164465474,58649.33454301389
-0.028413757829019913,58876.032137894894
-0.028631674029795048,59102.93204929566
-0.02885049690656191,59329.855312033236
-0.029070192713187584,59556.76593107609
-0.02929094572372465,59783.85263433916
-0.029512729628075343,60011.08565184459
-0.0297355853818038,60238.50403086106
-0.029959420820602,60466.0117286471
-0.03018446554679378,60693.83871196726
-0.030410658481263533,60921.919099249135
-0.03063798937198324,61150.23935918761
-0.03087351778263342,61376.15577931735
-0.031103494704493275,61605.10516068781
-0.03133480841977296,61834.52691230686
-0.03156717708141884,62064.129154602684
-0.031801200801697044,62294.35304946206
-0.03203657127243489,62524.82363189765
-0.03227346646985222,62755.9025064199
-0.03251164557674648,62987.34897729098
-0.03275137993749688,63219.42036163376
-0.032960739381008713,63460.388866987065
-0.033203016109233874,63693.43505812131
-0.033446688379602005,63926.911489920414
-0.0336920257743373,64161.06936726802
-0.033939090947553416,64395.95978296118
-0.03418751987156237,64631.22965283474
-0.03443792071660254,64867.44665346118
-0.03468980128656791,65104.1378758673
-0.03494365398876395,65341.75738455444
-0.035199086859154655,65579.92931612545
-0.03545642653390882,65818.94974588491
-0.03571562200655608,66058.76160927906
-0.0359767309626239,66299.40839457362
-0.03623984500696488,66540.9846625712
-0.036504665495329484,66783.20815211158
-0.03677153410857313,67026.39192483552
-0.0370405418820153,67270.57606538676
-0.03731159561262667,67515.66461349263
-0.03758462376339094,67761.58266796016
-0.037859797853899736,68008.47414777795
-0.03813715272069139,68256.35839597907
-0.03841689351993163,68505.39329956681
-0.0386983432896709,68755.40806562101
-0.03898268342990347,69006.47114313486
-0.039269485918783674,69258.74149495424
-0.039558524373663764,69512.0076902426
-0.03985000080647204,69766.43388104175
-0.04014411394409971,70022.17885633488
-0.040440684669964984,70279.07224572044
-0.0407397747966949,70537.15376157241
-0.04104133919814774,70796.37067010794
-0.0413456373493504,71056.93143534054
-0.041652728467926274,71318.87062409248
-0.04196241730767225,71582.00655488794
-0.04227503643590611,71846.60617370387
-0.04259064503728282,72112.70209818994
-0.04290890398477607,72379.9924894203
-0.04323011625978268,72648.6923754409
-0.04355439200260767,72918.89466294851
-0.04388177609911195,73190.6264001837
-0.04421239415898958,73463.97336261482
-0.04454593043054643,73738.65716734537
-0.044882801265670014,74015.00312084398
-0.04522283213917141,74292.84947917488
-0.04578907310540746,74516.44335478562
-0.046107441940975685,74807.34016543592
-0.04643587105862305,75099.73670206842
-0.04677780430115517,75390.64273592287
-0.0471127722504068,75688.17007803859
-0.04744848475940156,75988.07430079588
-0.04775917608598528,76292.45745621902
-0.04811626969069164,76585.61710542401
-0.04852139547882936,76876.42182121302
-0.0488996695481057,77172.12840542011
-0.049278224714512014,77471.00163810563
-0.049659097921161,77771.88075985163
-0.05004365089395084,78074.84384297175
-0.05043238808359535,78379.84465631026
-0.05082510879675921,78686.50436616612
-0.05122252710487997,78995.2609933833
-0.05162428044887617,79305.76533206033
-0.05203106816243619,79618.60639783269
-0.05244235918270587,79933.24144709797
-0.05285896682212451,80250.25170076455
-0.05328034078832102,80569.20785986453
-0.05370702230893362,80890.51214754635
-0.05413904161082399,81214.1777647045
-0.05457665083635209,81540.3831510066
-0.05501918281562209,81868.62286006729
-0.05546761592043752,82199.61254002033
-0.055921966330664145,82533.34741419218
-0.05638206737364447,82869.68934042483
-0.05684776580969801,83208.50207396672
-0.057319640780438094,83550.20152108892
-0.05779767033954815,83894.74996696463
-0.058384053511625074,84255.27105869874
-0.05886881449796762,84608.53809380936
-0.05935979243295732,84964.36123991196
-0.05985758884563872,85322.8550695176
-0.060361852185216586,85684.00414052686
-0.06087304039893153,86047.92222370078
-0.06139063180251014,86414.3840475506
-0.061914969987824676,86783.56398051763
-0.062445734777781994,87155.24035091075
-0.06298321241992848,87529.47156581112
-0.06352596589237347,87905.1208168212
-0.06406606643320009,88277.61329686284
-0.0646879795948051,88686.90075367308
-0.06566665765412756,89001.89853336177
-0.06631195029186682,89399.63732198408
-0.06640620429881051,89855.21416077457
-0.06701198393919183,90258.97036845794
-0.06762544072892829,90666.08928770374
-0.06824718446378872,91076.85860958046
-0.06887833009583756,91491.92169486063
-0.06951839291582432,91910.88350205155
-0.07016862484204968,92334.4976306313
-0.07082807975892941,92762.09079642546
-0.07203369854567374,93140.90873960445
-0.07270619374057737,93577.86707864987
-0.07338972240554696,94019.85405713055
-0.0740841358286615,94466.66426255617
-0.07478983053367716,94918.56691218656
-0.07502650052465647,95435.6136037653
-0.07611555296739106,95846.01992085823
-0.07690152373458467,96308.62637080993
-0.07770283106837154,96778.59230389497
-0.07847942988824604,97257.59066595386
-0.07926433889324777,97742.09545743023
-0.08006113705352921,98233.07425490677
-0.08087081486866685,98730.51724593814
-0.08169367176465057,99234.43793255476
-0.08252941395870564,99744.55194332411
-0.08338187784894582,100262.95926016137
-0.0842469327533338,100787.06415716368
-0.0851278085231159,101319.67554701275
-0.08602150516951783,101860.23189679203
-0.08690743870953413,102419.34145889398
-0.08782298730149117,102982.17849605126
-0.08872782609843954,103562.92529256147
-0.08969562640879028,104131.80251694459
-0.09075873048489105,104681.44573329974
-0.09182634402113538,105242.70154301314
-0.09288212463744873,105826.11801269469
-0.09395408415407736,106418.8685889977
-0.09504692285484825,107021.94574693446
-0.0961588229286907,107633.92315550032
-0.0972937063287933,108256.03172255223
-0.09845115205587257,108887.39080841106
-0.09960990170656538,109537.96197863476
-0.1008231780251571,110186.80482398663
-0.10205508525833462,110849.40514439686
-0.10331441563233691,111521.6308132062
-0.10460367741751446,112204.40042866749
-0.10592388930346151,112897.76336431807
-0.10727465497718947,113601.79636145773
-0.10865957571033376,114317.15602771817
-0.11008003558671056,115043.99074307743
-0.11153691197885374,115782.5018997624
-0.11303078872414549,116533.26429423894
-0.1145631188474069,117297.03319633481
-0.11613586334445185,118074.59407551448
-0.11774140883736611,118867.44287089039
-0.11923332363838993,119727.77559206114
-0.12120277224629102,120492.15901076184
-0.12235162118740184,121424.8640981049
-0.12475193384590985,122192.48873927946
-0.12615693572118386,123153.23879649866
-0.12808815387107078,124019.7295844577
-0.13034403482128223,124867.72834531969
-0.13227383160524867,125794.4894008143
-0.13426446349702384,126742.39921103256
-0.13631960960957074,127713.37228990112
-0.1384332819857144,128704.73727845837
-0.140617978516187,129722.05092992434
-0.14287135654326713,130762.63972677974
-0.14519879468300845,131828.0384024658
-0.1476038779697378,132918.98028279783
-0.1500879354567818,134035.31748689446
-0.1526545140118302,135177.77206064557
-0.15530665757992387,136346.8129818343
-0.1580538384466995,137545.7751192619
-0.16090089583327136,138775.67986047533
-0.16384247939048183,140033.22383742442
-0.16689797648461502,141325.66082683866
-0.170062242027631,142649.781404115
-0.17334884626165234,144010.1951321002
-0.17676436877920412,145408.26699797262
-0.18031172148218363,146843.95103065664
-0.1841871668306781,148270.04814306967
-0.18801394025312634,149804.12420777153
-0.1920017033510903,151381.4898597619
-0.19616361373620575,153005.54241392954
-0.20050845407329296,154677.9970013027
-0.205054125580051,156403.96852784907
-0.20981145557643255,158185.68711103074
-0.2149502679663958,160003.7556271712
-0.22005604647629612,161930.64543737005
-0.2255396180991518,163903.6240826272
-0.2313060566660705,165949.50326817567
-0.237378248749627,168073.5542569408
-0.24378195188816487,170281.69337215548
-0.2505345469809238,172576.60673826188
-0.25767903960777877,174969.27359057622
-0.26524085032270645,177464.17777088765
-0.273265295302015,180071.82490071675
-0.28180431516584664,182804.06347490352
-0.29088331444969934,185663.67652173407
-0.30058248578793123,188670.67407915005
-0.31192385562022584,191706.78859643612
-0.3221510190433774,195178.88185073822
-0.3341029766151196,198689.46687192464
-0.34699573867769046,202406.73965238463
-0.3609595380362145,206357.18049711845
-0.3772047067175656,210408.1556761897
-0.3935156712960945,214914.30433338726
-0.41154175908223767,219708.3726707297
-0.4315090980785066,224820.6253392389
-0.4531050895088385,230457.34124781715
-0.4774951063261024,236421.06663502127
-0.5047677680103505,242921.02194561163
-0.5353973696942012,250021.99331223406
-0.5701808254837069,257814.30588921075
-0.6098933351114137,266487.4811977029
-0.6550053382595329,276351.6702872105
-0.7082853110927485,287321.1241273126
-0.7713640810535157,299759.47767543973
-0.8495480953662591,313934.96447891917
-0.9436158913355682,330900.88047905895
-1.0623852684291162,351286.12851184304
-1.2177372744523651,376499.5968017389
-1.429608590700499,408783.6854195879
-1.733571176280156,452947.7317770453
-2.1934193741241303,514584.7235524709
-2.310521531973681,529789.9419768088
-2.396964642144622,540946.3219838141
-2.4681560725845153,550023.278854318
-2.531534584348189,558070.7674621918
-2.5888006638435486,565320.3069648918
-2.6396045006211297,571771.7643102076
-2.688713437586504,577966.3847784005
-2.734994108946651,583776.0464327044
-2.778380651202714,589234.6369351795
-2.82097547772983,594585.5963347272
-2.8607913325288057,599581.1313559327
-2.8994296722226847,604423.8402480417
