mu,Tc,delta_Tc,order
300.0,70.19437021086026,0.004598888962078718,2.0
308.0,69.33608976453961,0.004532843446071411,2.0
310.0,69.11705269226982,0.004468211971691005,2.0
311.0,68.99918416461858,0.008453663439638603,2.0
312.0,68.90095566978479,0.008487893916822031,1.0
313.0,68.79695992812381,0.008422004894036661,2.0
314.0,68.67092055594429,0.00840490482162437,2.0
315.0,68.57033736916134,0.0055901426869624515,2.0
316.0,68.45474608534963,0.012932947519239235,1.0
317.0,68.34745102410861,0.008351633516269885,1.0
