mu,Tc,delta_Tc,order
0.0,94.40517881845574,0.002178421087300819,2.0
128.0,90.17007071034237,0.003986541067035887,2.0
192.0,85.97156932619225,0.006037082509827485,2.0
224.0,83.09334702096506,0.00356354192869901,2.0
240.0,81.53827536148407,0.005504180836759076,2.0
248.0,80.73001420835158,0.003340926884114026,2.0
250.0,80.52176624490377,0.003550809156202206,2.0
251.0,80.41287548986396,0.006823080785423485,2.0
252.0,80.3156220466687,0.005326213734299756,1.0
252.0,80.31071044068153,0.0068124241619571535,2.0
253.0,80.20870495790246,0.006801784182528081,2.0
254.0,80.10685879230806,0.006791160821144615,1.0
256.0,79.7807888291948,0.12328760826025587,1.0
256.0,79.89781804720272,0.003418800203839112,1.0
256.0,79.89662884303894,0.0033001331172997084,1.0
