mq,sigma
-0.09483662630590353,7227.6104543991505
-0.10896741796362178,8307.052133035713
-0.11242983598690776,8586.66749881515
-0.11493717197754687,8776.5313890634
-0.1169966935581118,8932.34472842815
-0.11878596403020066,9067.641946602434
-0.12039118720085222,9188.979417051218
-0.12186201739421973,9300.13328177931
-0.12322935379373155,9403.448738634039
-0.12451474628038645,9500.560677488229
-0.12573656444269823,9596.47577227833
-0.1268984726989322,9683.696898218715
-0.12801403989437957,9767.989788449826
-0.12908896562086314,9849.20709787816
-0.13012869208655406,9927.761310152293
-0.13113779580560758,10003.99982364208
-0.13211717198022419,10073.581809634761
-0.13307470888269338,10145.894413603774
-0.13401086368103374,10216.597669836972
-0.13492706511827723,10285.799613095895
-0.13582569113985243,10353.679515580767
-0.13670866931616638,10420.38384580205
-0.13757810155277722,10489.2108620408
-0.13843293848164215,10553.80271380945
-0.13927604116788414,10617.512682201139
-0.14010771445647124,10680.36459865087
-0.14092959850311454,10742.481983165668
-0.14174112806747918,10803.82318107716
-0.14254458107724965,10864.560031596222
-0.1433397250705517,10924.67435791393
-0.14412772914864408,10984.255207292805
-0.14490869291314137,11043.310310637782
-0.14568365740425115,11101.91722300716
-0.1464525280620585,11160.072804199564
-0.1472153688433924,11218.13640246747
-0.14797333369840515,11275.825426138746
-0.14872626999919095,11332.780039475248
-0.14947548346014802,11389.780021006465
-0.150220457263728,11446.453717864944
-0.15096193543110092,11502.857819756593
-0.15169940331376278,11558.953319802662
-0.15243474491538872,11614.88348004363
-0.15316637870638233,11670.528066124863
-0.15389575424417154,11725.997385320874
-0.15462303865680202,11781.304021838883
-0.15534752408982105,11836.394476056097
-0.1560699980830606,11891.32870171126
-0.156791218345435,11946.16421842098
-0.1575100431099265,12000.814063978094
-0.1582285624246331,12055.436816365309
-0.15894450160848178,12109.859878642825
-0.1596601634376398,12164.25850042682
-0.1603747478921566,12218.571893761442
-0.16108826176392754,12272.800640199188
-0.16180106971218577,12326.972446978969
-0.1625134368145654,12381.107209731632
-0.16322602205822137,12435.255576714864
-0.16393687067802584,12489.268862215045
-0.1646486275703295,12543.348007850593
-0.16536050300116467,12597.433002517197
-0.16607226118632215,12651.505810396386
-0.1667836937680339,12705.550803946799
-0.16749624961872517,12759.67796620005
-0.16820846565516115,12813.776215151624
-0.1689224263941584,12868.003728153459
-0.16963550788768245,12922.16087506051
-0.17035003883826624,12976.424954291891
-0.17106469490930143,13030.695468818729
-0.17178125463204125,13085.107768783015
-0.17249861741473183,13139.927244194272
-0.1732166735528812,13194.458001821069
-0.17393634011648407,13249.108251380276
-0.17467458264274788,13303.449429624621
-0.17539693778192358,13358.473974090562
-0.17612032213190754,13413.58010967203
-0.17684519394179224,13468.802667960099
-0.17757184570848877,13524.16409530161
-0.1783006329404987,13579.691418511118
-0.17903150726371908,13635.381096777115
-0.1797638511590563,13691.186200107993
-0.18049782090108665,13747.118591786604
-0.18123428665790642,13803.244603699946
-0.18197240936324974,13859.50032540535
-0.1827130597023043,13915.95216031205
-0.18345530171755994,13972.528809019223
-0.1842016752096794,14029.4239093598
-0.18494920925606512,14086.41104656316
-0.1856988715313023,14143.56392480501
-0.18645262256097067,14201.032187804953
-0.1872076906419283,14258.60455862652
-0.18796567803989622,14316.403240267553
-0.1887263835898239,14374.412943389068
-0.1894905399393523,14432.68959606929
-0.1902567429381085,14491.126169728788
-0.19102734282265726,14549.901956561673
-0.19179957503155712,14608.806125460627
-0.1925761784106926,14668.047662111538
-0.1933558491880446,14727.527174898232
-0.1941393452877037,14787.302545783648
-0.19492485123556072,14847.23531921991
-0.19571505395306762,14907.530559990972
-0.19650730934314115,14967.986569858338
-0.1973052166980311,15028.87807450163
-0.19810686686633674,15090.059455710103
-0.19891119486844844,15151.449473586676
-0.19971986552278922,15213.17527496615
-0.20053274035555965,15275.226342767912
-0.2013483120304229,15337.490391540254
-0.2021695029270577,15400.185702382796
-0.20299449130144573,15463.175497048573
-0.2038251152041102,15526.600203529651
-0.20465903639403937,15590.281422316266
-0.2054976935646299,15654.329051228016
-0.20634045621731706,15718.695002989978
-0.20718897518046575,15783.505446126332
-0.20804121141171053,15848.604739263588
-0.2088985705646113,15914.100327584121
-0.20976195633437605,15980.061338494641
-0.21062778113951766,16046.213760580968
-0.2115013094797294,16112.959844283861
-0.21237849220283514,16179.990205570517
-0.21326331692270636,16247.609766494183
-0.21415114315302988,16315.464020626316
-0.21504504311072253,16383.787850006507
-0.21594570756158482,16452.634168309884
-0.2168524401082318,16521.949858998465
-0.21776346346021117,16591.59914219653
-0.2186805591893032,16661.718556227155
-0.21960594104669234,16732.47760570185
-0.22053682956217144,16803.665028623007
-0.22147204345519053,16875.190763654467
-0.22241631182923738,16947.416492600183
-0.22336510441519428,17019.995663173577
-0.22432083434895894,17093.112875066916
-0.22528443938989595,17166.839896317662
