mu,Tc,delta_Tc,order
0.0,103.50708828538704,0.0021784210873079246,2.0
128.0,99.17016729128075,0.0044434778262854024,2.0
130.0,99.03987841147229,0.004476547191771374,2.0
131.0,98.97006854421977,0.008751440181782755,2.0
132.0,98.85236082355053,0.02089055356157843,1.0
132.0,98.8039251313809,0.06121543106748106,1.0
136.0,98.56917776416026,0.02089055356157843,1.0
144.0,97.96335171087455,0.0974892499540232,1.0
160.0,96.72848787812357,0.0974892499540232,1.0
192.0,93.92335076932741,0.03133583034236409,1.0
256.0,86.93873258347618,0.644227455971432,1.0
