mu,Tc,delta_Tc,order
0.0,102.35325124947937,-0.14232351103706975,2.0
64.0,101.22520475594214,0.004636345316939128,2.0
96.0,99.90349854402793,0.004329168819268148,2.0
112.0,99.03128012247522,0.0045133621048734085,2.0
114.0,98.9119616506563,0.004469574736916115,2.0
115.0,98.84225772357857,0.00873811961683657,1.0
116.0,98.78681355802266,0.004469574736916115,1.0
120.0,98.48902203500846,0.061253867964055075,1.0
128.0,98.02733130665659,0.004371043899382698,1.0
128.0,98.03163704503305,0.004262785289988358,1.0
