mu,Tc,delta_Tc,order
0.0,100.72970897542689,-0.14232351103706975,2.0
128.0,96.50678913406307,0.004289538348494659,2.0
144.0,95.40284780595468,0.004342839491393136,2.0
152.0,94.84637537266828,-0.0376772074846059,2.0
154.0,94.66290019190325,0.004259482907166046,2.0
155.0,94.58016701166022,0.008295649641581804,2.0
156.0,94.5041950139549,0.00425948290715894,1.0
156.0,94.50559167814242,0.008287875709179104,2.0
157.0,94.43108622988095,0.00828010906180765,2.0
158.0,94.34010590200039,0.00827234969263202,2.0
159.0,94.26575897741489,0.008262874906428408,1.0
160.0,94.09822665355841,0.09457739336814797,1.0
160.0,94.18544651189339,0.012459030761824863,1.0
192.0,91.28229735815684,0.030399876439759055,1.0
256.0,81.95905245883861,2.9112631503842863,1.0
