mu,Tc,delta_Tc,order
0.0,85.75935721669968,0.004598888962078718,2.0
128.0,81.6807940738338,-0.049738415890644205,2.0
256.0,72.54291679658405,0.005013802560512204,2.0
320.0,65.61592869849537,0.004709697094703813,2.0
328.0,64.75185369129983,0.004188071027492413,2.0
332.0,64.30687496971274,0.007771797662435631,2.0
334.0,64.09398083752654,0.004089494772031799,1.0
336.0,63.86010478992788,0.019544331461624154,1.0
336.0,63.873052506682676,0.007703418143229612,1.0
352.0,62.08173186451866,0.01186037413666341,1.0
384.0,58.32201408954877,0.09438347296197946,1.0
