lambda1,mu,Tc
5.2,252.5,80.26216350228557
5.3,157.0,91.59544216234752
5.3999999999999995,165.0,93.53343683424052
5.499999999999999,66.0,101.91469434880224
5.599999999999999,0.0,105.55816586838816
5.699999999999998,0.0,107.86169825072886
5.799999999999998,0.0,109.97722303206997
5.899999999999998,0.0,112.48633381924199
5.999999999999997,0.0,114.10987609329446
6.099999999999997,0.0,116.1762026239067
6.199999999999997,0.0,117.28316326530611
6.299999999999996,0.0,116.25
6.399999999999996,0.0,122.1291909620991
6.499999999999996,0.0,123.75273323615158
6.599999999999995,0.0,124.859693877551
6.699999999999995,0.0,126.92602040816325
6.7999999999999945,0.0,125.89285714285714
6.899999999999994,0.0,130.36989795918367
6.999999999999994,0.0,132.4362244897959
7.099999999999993,0.0,134.50255102040816
7.199999999999993,0.0,136.56887755102042
7.299999999999993,0.0,135.53571428571428
7.399999999999992,0.0,135.53571428571428
7.499999999999992,0.0,135.53571428571428
