mu,Tc,delta_Tc,order
0.0,103.12723619357155,0.002178421087300819,2.0
32.0,102.84512468481607,0.004675201138709895,2.0
48.0,102.4902007530284,0.002940330947609482,2.0
56.0,102.25969884923951,0.004643220496546974,2.0
60.0,102.13268429279888,0.009086733162249061,2.0
64.0,101.98679238686819,0.02181760531399135,1.0
64.0,102.00574779391641,0.002928336157310696,1.0
64.0,101.99659239241106,0.009074433336017762,2.0
68.0,101.8425963107363,0.009060260439305523,2.0
72.0,101.70696504213788,0.009044222910411293,1.0
128.0,98.77502558533794,0.020647239101464265,1.0
