mu,Tc,delta_Tc,order
0.0,101.33063046647229,-0.14232351103706975,2.0
128.0,97.01377788877184,0.004319705987462896,2.0
136.0,96.48044687793207,0.004368291491260834,2.0
140.0,96.19736277729741,0.002727296108574251,2.0
142.0,96.05828672741112,0.004327305577639606,2.0
143.0,95.97409082266425,0.00844095599110517,2.0
144.0,95.89590476097163,0.020385360292557664,1.0
144.0,95.91202219069457,0.002717711951589763,1.0
144.0,95.91507532162981,0.008433045890733126,2.0
145.0,95.83924552049712,0.008426899355832518,2.0
146.0,95.76349029249998,0.008419002428070144,1.0
160.0,94.69090346367815,0.020385360292557664,1.0
192.0,91.85167578293118,0.030578040438832943,1.0
256.0,85.4127522113879,0.028823996083922054,1.0
