0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
-441.654820223505,-421.9400317819566,-331.4020423722525,-114.90602156095372,-414.13124239080616,-392.62001297425724,-273.94714295124936,-360.11514879018694,-277.1537936677325,17.55332778954636,-332.71645503569914,-264.6908008744493,-145.82844051719576,-198.52986043070462,-119.8580352871047,-163.40249873014403,-143.00998501901023,-178.2845848375959,280.381155083975,260.20509486011986,-134.64927704161173,526.4985414211488,-26.377829222155682,-133.4525743962924,-85.88197219408246,812.4895572314432,7.018960319570148,-49.3400215952449,139.21724282935529,1025.2003521761567,338.8006224017013,162.20286995982897,65.70469044986906,321.17929435078156,-1045709.4769893482,-1054166.6641231275,493.4410622631375,-1061888.8543910945,2308.8198143362847,636.5401252965032,-1073047.9705306413,-1084078.7108266752,380.6600959754951,-1089171.2223972047,-1100587.9685659287,-1106433.2250499646,877.8610858019954,-1116192.9568739505,-1124642.9384815544,-1130626.124754036,1146.0620927767322,-1143681.8812127418,-1153879.1583293923,-1161206.9080317449,207.4684908501622,-1174764.6319833389,-1183060.5891404434,-1190354.1462112686,-1197408.3371011,-1198859.7674855401,-1211554.2992032317,-1220773.0861266244,-1228868.4622009392,-1237774.8150019073,-1246427.3729303265,-1254681.5542210462,-1263336.9487855132,-1271923.5573920077,-1280413.1257930489,-1288737.6018662194,-1288737.6018662194,-1296908.084519423,-1304480.7141477598,-1312588.9888421623,-1320586.3459101156,-1328192.447517768,-1333355.1689321054,-1341301.2707997367,-1351540.1542384452,830.8125208392012,-1369853.3853657725,-1378415.4025174167,-1386600.2219740604,-1394495.7403061124,-1402054.1754699487,-1409380.1864748923,-1416635.2017062453,-1423813.781967297,-1430803.0984736753,-1437643.6537193418,-1444200.8633816205,-1450550.0865633704,-1456684.265530871,-1462588.9799937382,-1468234.2090724402,-1473303.37490458,-1478271.5247960915,-1482756.8136472455,-1486778.9803202355,-1490252.5678981356,-1493263.874212066,-1494287.3513687665,-1496659.9460620405,-1501570.8436807552,-1506440.5560737974,-1510468.9689544565,-1513517.4143926837,-1515725.455983948,-1517146.5813825303,-1517874.7980457286,-1517692.4273935203,-1517707.9608321863,-1516502.1208242457,-1515246.9848645816,-1513160.8801151903,-1495713.988119151,-1507424.5575687618,-1503681.9167058785,-1499455.4811137205,-1494594.4669301219,-1489159.306068188,-1483057.4337223317,-1476294.0207606403,-1468862.8449396442,-1458857.7510831584,-1435599.7500822735,-1429393.3831883445,-1398284.12583383,-1408127.2390432158,-1408076.1193219689,-1395081.7559006482,-1381042.8107287316,-1366145.6941165815,-1350249.1526910577,-1333271.4034752352,-1268093.6985574178,-1280160.1526089257,-1239847.1773733473,-1248672.964532257,-1200591.8912777214,-1187062.1812608861,-1168354.470939776,-1147152.1152627806,-1123732.0743914647,-1101855.8424444576,-1075081.775506246,14266173.316246884,-721186.6895880525,-957713.5925795882,-847505.5253742249,-915424.2032882511,-845567.4009573506,-803129.7192100504,-765005.2738694943,-726850.8816617678,-683887.4067198294,-638256.4761824912,-592297.0808401259,-551380.3333028636,-511065.97744445177,-430786.7323380762,-358219.5613259227,-304500.7620022809,-261424.88022137887,-212302.11525960153,-145767.02017953133,13833277.44463533,13877669.779606016,13834377.764989706,13786212.585855411,13731050.541007498,112018.1632373879,22404.191415578476,28112.98960155621,-51105.06025903899,14538.818261732118,50557.14659876154,31069.652391874566,29221.562627244355,28762.89794450876,27671.120529387757,25032.974521882017,-3120.670372454828,4897.615353791567,11070.530316909892,15353.494313077332,18339.93818200275,20237.34885273053,21182.52550655458,21357.654193459166,5509.278192940473,1055.9261285076525,-20131.219737509306,23497.382304543517,-1358.3440488335473,6125.989650744939,-2027.1238906727049,29669.44455334157,8862.859844916384,1552.011987726916
13273419.749359418,13291265.921355683,13290662.042846708,13224178.648142992,13271491.455869727,13301308.58249823,13280469.039165465,13319748.709582219,13246754.536205333,13289432.535070091,13245772.175124647,13312668.620835876,13283824.35778567,13284735.481793702,13316184.547354495,13251804.9354783,13308478.79238415,13363609.567278495,13252065.010686927,13322510.645842073,13373024.196387937,13253697.609715417,13311710.504340371,13351133.357802907,13291481.962448293,13324374.943009151,13347799.499750748,13390819.053120742,13294587.624622716,13332134.276846346,13347434.137692122,13391543.31793249,13320323.768958839,13287234.16468644,514.4514163174019,214.00555052492365,13432057.818077698,2505.1413459531495,13309997.047234066,13375161.613658478,2688.262068644036,2489.2447160676174,13371113.864288054,612.9206165308025,731.578979891552,2954.4464427407975,13414484.60124706,503.09187801047483,720.8883386212997,-1.3844904573752501,13364307.47443081,811.8999111032609,-2030.3802518627053,1175.4677439675306,13497901.927136537,885.6200390489403,-1490.2207698955854,5424.161726779899,1196.2629473096858,595.5800102650817,-928.0261259041615,1213.6271705905237,595.8168606074687,-1435.2472033468366,928.8292737243974,-530.3806911396023,1107.4954572946679,377.6000095383974,1067.9030777339244,-1909.810204696474,-1909.810204696474,1033.8988553257304,-1320.5370830353277,1115.0739524432574,1002.1181886881386,-167.41859028205363,-3505.1724662399065,44754.501867539555,-42.822148177569034,13569967.557915691,646.0533387696387,-728.9556992095725,7777.468344608677,-6255.901325382374,-9826.08014676875,10365.390451662268,14778.69010446824,852.3933555223048,-3370.076793810731,-160.43977328742403,631.9276929666805,-2274.2941304826454,-2159.8132134894986,52.78814249228162,-1198.9199916161015,331.9078879051958,844.4475604066611,664.0716539504356,289.775298580651,508.28415004855924,-96.89449076530582,-261.9390824841539,-253.67409432434943,-322.5224586783006,3432.443321577144,2883.55190425404,2389.8829120223127,1935.6430539102475,2381.4210280472835,2718.2058492505676,2907.8735557651307,375.5136217591862,192.69523840627517,-224.99304895332898,-696.1219818885147,-1184.9409027152433,738.6788554121922,335.5074086657369,393.79551460872244,359.9617246975431,-205.19374853269983,-1778.871353523784,-4980.7833671161425,-10505.872264591017,-15491.447088832618,-18297.44414475035,-21017.49149608471,-23478.68642825543,-25947.066055678297,680.8283217419084,9141.885781647732,3239.423474625899,8704.225522584526,-5684.684875264142,6550.321492260908,-895.8925333854131,-18269.588723863104,-2162.199858123262,-966.3294883392032,-2084.4178510289785,-3536.049995605505,-10392.959571502382,-21820.67432139009,-42773.435793426936,546.8738518894886,2714.124050194355,0.0,-22761.046141148952,-15077.656738728741,-11890.875775454411,-10196.34028571688,-9201.861314319249,-8949.135323058163,-8734.525648195133,-8492.547937209576,-8559.521772829452,-9094.836999383835,-9879.336517334224,-10982.808882525118,-12507.973630870576,-14609.877434590657,-17512.375505805496,-21975.82681168525,-28568.721145205418,-8748.318966413113,-18251.67700597269,0.0,0.0,0.0,0.0,0.0,169190.06999425526,129551.52924622531,253309.22650688648,490007.17310056405,585186.0758196298,711419.4535956569,805569.0477277545,945902.4155796907,1057682.6108582627,1187085.5957177754,1307572.7758479547,1435520.395325114,1570971.9764632354,1713750.236933175,1863963.9769388335,2021895.4929845007,2188106.4548702706,2363491.7973750224,2549308.1924308487,2763713.9393245275,2974896.5002866685,3201204.8107454106,3445116.615934616,3710019.638514602,4000634.622257334,4323656.621060268,4691328.696109735,5169859.924166485,6085706.300331408
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13340243.355691392,13381082.483670317,0.0,13340032.880210642,0.0,0.0,13380457.028862542,13459861.279336663,0.0,13349133.051917335,13332634.94373664,13422831.059198145,0.0,13458342.829454184,13390734.615228266,13387442.58334875,0.0,13384443.260519695,13441775.210528545,13457777.535554057,0.0,13450334.855681911,13433796.478167973,13422673.64725402,13409530.887139488,13427241.807238342,13582472.842953809,13584796.85052566,13564877.876507867,13601870.88813469,13521383.783513548,13508254.415470114,13489869.117851404,13481318.269130789,13518046.725235341,13323368.538144352,13323368.538144352,13532631.93206939,13558897.370171826,13703378.348400516,13705561.199908605,13615242.78089203,13616511.94056846,13608782.141870175,13601301.067372767,0.0,13614084.73678401,13760621.917364536,13664696.054789394,13664522.284009354,13683362.530302906,13704499.571020784,13722288.004345808,13725827.342309339,13741908.291702414,13747588.260711446,0.0,13739214.017038673,13746167.19405598,13764889.425452717,13817337.113047618,13937412.389992509,13831878.521051526,13852355.44611113,13867604.05640322,13881632.532218738,13900305.881122157,13916440.836427327,13928950.24306482,13937453.51795825,13943139.517540013,13949557.70806108,13955531.28679172,13952788.183448609,13970963.810300238,13962057.165341835,13956463.1319439,13970021.4661155,13984121.83420236,14001520.079689067,14027046.210137904,14067793.9243331,14133726.70744456,14239471.233008206,14119268.601534978,14077237.852711812,14185759.512890097,14135530.486329535,14144940.559294462,14158150.399653124,14172123.899683103,14176233.999414206,14192238.999235632,14200695.316146066,14207935.507577682,14214094.149803415,14219255.996062938,14223467.313694667,14226609.596841447,14218677.803254062,14230674.563447986,14228946.369948357,14224773.978789892,14229130.09457455,14222709.079495452,14221634.808811694,14222588.582424749,14213999.716252651,14216561.860372085,14211939.938357167,14227350.426248144,14244079.978154514,0.0,14296965.189775502,14352383.683471434,14239725.658942584,14226686.627704127,14203165.821229974,14181246.548872918,14095118.338690907,14097965.09175055,14130265.602247937,14120736.715585925,14106746.952710947,14084877.865091603,14058949.267348407,14038094.450938173,14006776.306458538,13976056.396693226,13944874.68068382,13907795.687622722,13871176.377965875,0.0,0.0,0.0,0.0,0.0,13674711.593512284,13617110.571310846,13556372.65162761,13494395.18320823,13428149.764443973,13359046.460923364,13287465.641591422,13157904.034807924,13078947.37804084,12995113.376763215,12906456.681601742,12813502.308729053,12713438.691867882,12608212.125041835,12495787.0345601,12376955.823049678,12245926.773081874,12063921.272459814,11843344.051430782,11550170.558711162,11341544.45943167,11099274.705625243,10832523.700636229,10547828.929135412,10783318.317524921,10498181.688498102,10169526.162507381,9777301.085126564,9280611.73090931
