,mu,Tc,order
343,1720,7.291666666666666,1.0
344,1725,7.291666666666666,1.0
345,1730,7.291666666666666,1.0
346,1735,7.291666666666666,1.0
347,1740,7.291666666666666,1.0
348,1745,7.291666666666666,1.0
349,1750,7.291666666666666,1.0
350,1755,7.291666666666666,1.0
351,1760,7.291666666666666,1.0
352,1765,7.291666666666666,1.0
353,1770,6.076388888888889,1.0
354,1775,6.076388888888889,1.0
355,1780,5.833333333333333,1.0
356,1785,5.833333333333333,1.0
357,1790,5.833333333333333,1.0
358,1795,5.833333333333333,1.0
359,1800,5.833333333333333,1.0
360,1805,5.833333333333333,1.0
361,1810,5.833333333333333,1.0
362,1815,5.833333333333333,1.0
363,1820,5.833333333333333,1.0
364,1825,5.833333333333333,1.0
365,1830,5.833333333333333,1.0
366,1835,5.833333333333333,1.0
367,1840,5.833333333333333,1.0
368,1845,5.833333333333333,1.0
369,1850,5.833333333333333,1.0
370,1855,5.833333333333333,1.0
371,1860,5.833333333333333,1.0
372,1865,5.833333333333333,1.0
373,1870,4.861111111111111,1.0
374,1875,4.618055555555555,1.0
375,1880,4.618055555555555,1.0
376,1885,4.618055555555555,1.0
377,1890,4.375,1.0
378,1895,4.375,1.0
379,1900,4.375,1.0
380,1905,4.375,1.0
381,1910,4.375,1.0
382,1915,4.375,1.0
383,1920,4.375,1.0
384,1925,4.375,1.0
385,1930,4.375,1.0
386,1935,4.375,1.0
387,1940,4.375,1.0
388,1945,4.375,1.0
389,1950,4.375,1.0
390,1955,4.375,1.0
391,1960,4.375,1.0
392,1965,4.375,1.0
393,1970,4.375,1.0
394,1975,4.375,1.0
395,1980,4.375,1.0
396,1985,4.375,1.0
397,1990,4.375,1.0
398,1995,3.4027777777777777,1.0
399,2000,3.4027777777777777,1.0
